femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,hash,lastRefresh,id
DR-1223-FL,1223,FL,DR,1998-06-18T04:00:00.000Z,1998,Fire,EXTREME FIRE HAZARD,0,0,1,0,1998-05-25T04:00:00.000Z,1998-07-22T04:00:00.000Z,,12,103,99103,Pinellas (County),98051,87ff598d8d7d8cd5159a9153e6252cff,2019-07-26T18:49:44.130Z,5d1bcebad5b39c032f263ac1
DR-1223-FL,1223,FL,DR,1998-06-18T04:00:00.000Z,1998,Fire,EXTREME FIRE HAZARD,0,0,1,0,1998-05-25T04:00:00.000Z,1998-07-22T04:00:00.000Z,,12,81,99081,Manatee (County),98051,95d566444aab1f363a5d430a7c9484ea,2019-07-26T18:49:44.129Z,5d1bcebad5b39c032f263afc
DR-1223-FL,1223,FL,DR,1998-06-18T04:00:00.000Z,1998,Fire,EXTREME FIRE HAZARD,0,1,1,0,1998-05-25T04:00:00.000Z,1998-07-22T04:00:00.000Z,,12,131,99131,Walton (County),98051,48e067bf067651435f6fc3331352b065,2019-07-26T18:49:44.123Z,5d1bcebad5b39c032f263b60
DR-1306-FL,1306,FL,DR,1999-10-20T17:30:00.000Z,2000,Hurricane,FL-HURRICANE IRENE-DR-REQ,0,1,1,1,1999-10-14T15:00:00.000Z,1999-10-24T04:00:00.000Z,,12,9,99009,Brevard (County),99139,bf6b9df5737e9371f713926fc52573b6,2019-07-26T18:49:45.336Z,5d1bcebcd5b39c032f2641ae
DR-1195-FL,1195,FL,DR,1998-01-06T05:00:00.000Z,1998,Severe Storm(s),"SEVERE STORMS, HIGH WINDS, TORNADOES, AND FLOODING",0,1,1,0,1997-12-25T05:00:00.000Z,1998-04-24T04:00:00.000Z,,12,57,99057,Hillsborough (County),98227,9dd56e1c5acb97203308bdfb802d2b53,2019-07-26T18:49:43.674Z,5d1bceb9d5b39c032f2638e3
DR-1204-FL,1204,FL,DR,1998-02-12T05:00:00.000Z,1998,Severe Storm(s),"SEVERE STORMS, HIGH WINDS, TORNADOES, AND FLOODING",0,1,1,0,1998-02-02T05:00:00.000Z,1998-02-04T05:00:00.000Z,,12,86,99025,Dade (County),98018,cf4224da6c661d0b0b0b3b7b9c3ce749,2019-07-26T18:49:43.848Z,5d1bcebad5b39c032f2639aa
DR-1195-FL,1195,FL,DR,1998-01-06T05:00:00.000Z,1998,Severe Storm(s),"SEVERE STORMS, HIGH WINDS, TORNADOES, AND FLOODING",0,1,1,0,1997-12-25T05:00:00.000Z,1998-04-24T04:00:00.000Z,,12,131,99131,Walton (County),98227,443b7484cd52ac88f8cc5e4e37f0ae41,2019-07-26T18:49:43.737Z,5d1bceb9d5b39c032f26392f
DR-1223-FL,1223,FL,DR,1998-06-18T04:00:00.000Z,1998,Fire,EXTREME FIRE HAZARD,0,0,1,0,1998-05-25T04:00:00.000Z,1998-07-22T04:00:00.000Z,,12,55,99055,Highlands (County),98051,db66c47eabdc6325bb4ad2a11837d1cc,2019-07-26T18:49:44.125Z,5d1bcebad5b39c032f263ac3
DR-1249-FL,1249,FL,DR,1998-09-28T21:52:00.000Z,1998,Hurricane,HURRICANE GEORGES,0,0,1,0,1998-09-26T01:47:00.000Z,1998-10-07T04:00:00.000Z,,12,13,99013,Calhoun (County),98078,a9a3a933649d01ee41d5f2c0ebbddeb3,2019-07-26T18:49:44.706Z,5d1bcebad5b39c032f263dc1
DR-1223-FL,1223,FL,DR,1998-06-18T04:00:00.000Z,1998,Fire,EXTREME FIRE HAZARD,0,0,1,0,1998-05-25T04:00:00.000Z,1998-07-22T04:00:00.000Z,,12,37,99037,Franklin (County),98051,f891e2ac7e40712464b6a31745b11f42,2019-07-26T18:49:44.128Z,5d1bcebad5b39c032f263abf
