,disasterNumber,fyDeclared,incidentType,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,fipsCountyCode,declaration_date,incident_begin,incident_end,disasterlength,declarationtime,date,precipitation
217,1551,2004,Hurricane,1,1,1,1,131,12677,12674,12739,65,3,12674.0,125.63262959
218,1551,2004,Hurricane,1,1,1,1,129,12677,12674,12739,65,3,12674.0,309.70326900000003
219,1551,2004,Hurricane,1,1,1,1,91,12677,12674,12739,65,3,12674.0,28.237209815999996
220,1551,2004,Hurricane,1,1,1,1,71,12677,12674,12739,65,3,12674.0,67.54522030000001
221,1551,2004,Hurricane,1,1,1,1,45,12677,12674,12739,65,3,12674.0,527.276633
222,1551,2004,Hurricane,1,1,1,1,39,12677,12674,12739,65,3,12674.0,173.36250899999996
223,1551,2004,Hurricane,1,1,1,1,13,12677,12674,12739,65,3,12674.0,405.32662099999993
224,1561,2004,Hurricane,1,1,1,1,31,12687,12685,12739,54,2,12685.0,0.9225310879999999
225,1561,2004,Hurricane,1,1,1,1,67,12687,12685,12739,54,2,12685.0,0.0
226,1561,2004,Hurricane,1,1,1,1,19,12687,12685,12739,54,2,12685.0,0.014201914999999999
227,1561,2004,Hurricane,0,0,1,1,129,12687,12685,12739,54,2,12685.0,0.0
228,1561,2004,Hurricane,1,1,1,1,51,12687,12685,12739,54,2,12685.0,0.266129221
229,1561,2004,Hurricane,1,1,1,1,43,12687,12685,12739,54,2,12685.0,0.004282432
230,1561,2004,Hurricane,1,1,1,1,47,12687,12685,12739,54,2,12685.0,0.0
231,1561,2004,Hurricane,1,1,1,1,7,12687,12685,12739,54,2,12685.0,0.014142948
232,1561,2004,Hurricane,1,1,1,1,75,12687,12685,12739,54,2,12685.0,0.5839596370000001
233,1561,2004,Hurricane,0,0,1,1,86,12687,12685,12739,54,2,12685.0,23.209952542000003
234,1561,2004,Hurricane,1,1,1,1,9,12687,12685,12739,54,2,12685.0,0.7037445470000001
235,1561,2004,Hurricane,1,1,1,1,41,12687,12685,12739,54,2,12685.0,0.017521663000000003
236,1561,2004,Hurricane,1,1,1,1,95,12687,12685,12739,54,2,12685.0,0.133909593
237,1561,2004,Hurricane,1,1,1,1,29,12687,12685,12739,54,2,12685.0,0.135644801
238,1561,2004,Hurricane,1,1,1,1,49,12687,12685,12739,54,2,12685.0,0.0
239,1561,2004,Hurricane,1,1,1,1,23,12687,12685,12739,54,2,12685.0,0.202945606
240,1561,2004,Hurricane,1,1,1,1,61,12687,12685,12739,54,2,12685.0,0.07761308900000001
241,1561,2004,Hurricane,1,1,1,1,69,12687,12685,12739,54,2,12685.0,0.057656313
242,1561,2004,Hurricane,1,1,1,1,53,12687,12685,12739,54,2,12685.0,0.0
243,1561,2004,Hurricane,1,1,1,1,97,12687,12685,12739,54,2,12685.0,1.2108363109999998
244,1561,2004,Hurricane,1,1,1,1,55,12687,12685,12739,54,2,12685.0,0.030920316
245,1561,2004,Hurricane,1,1,1,1,3,12687,12685,12739,54,2,12685.0,0.0007570790700000001
246,1561,2004,Hurricane,1,1,1,1,27,12687,12685,12739,54,2,12685.0,0.0011926489999999998
247,1561,2004,Hurricane,1,1,1,1,111,12687,12685,12739,54,2,12685.0,0.0018172460000000002
248,1561,2004,Hurricane,1,1,1,1,127,12687,12685,12739,54,2,12685.0,0.055586553000000004
249,1561,2004,Hurricane,1,1,1,1,123,12687,12685,12739,54,2,12685.0,0.20608052999999998
250,1561,2004,Hurricane,1,1,1,1,109,12687,12685,12739,54,2,12685.0,0.674894611
251,1561,2004,Hurricane,1,1,1,1,121,12687,12685,12739,54,2,12685.0,0.0
252,1561,2004,Hurricane,1,1,1,1,115,12687,12685,12739,54,2,12685.0,0.0
253,1561,2004,Hurricane,1,1,1,1,101,12687,12685,12739,54,2,12685.0,0.0
254,1561,2004,Hurricane,1,1,1,1,85,12687,12685,12739,54,2,12685.0,0.08397898599999999
255,1561,2004,Hurricane,1,1,1,1,107,12687,12685,12739,54,2,12685.0,0.12903607
256,1561,2004,Hurricane,1,1,1,1,83,12687,12685,12739,54,2,12685.0,0.09664397499999998
257,1561,2004,Hurricane,1,1,1,1,93,12687,12685,12739,54,2,12685.0,0.038914804
258,1561,2004,Hurricane,0,0,1,1,71,12687,12685,12739,54,2,12685.0,0.000417354
259,1561,2004,Hurricane,1,1,1,1,125,12687,12685,12739,54,2,12685.0,0.0
260,1561,2004,Hurricane,1,1,1,1,99,12687,12685,12739,54,2,12685.0,8.309351176
261,1561,2004,Hurricane,1,1,1,1,15,12687,12685,12739,54,2,12685.0,0.002404695
262,1561,2004,Hurricane,0,0,1,1,21,12687,12685,12739,54,2,12685.0,9.143187259000001
263,1561,2004,Hurricane,1,1,1,1,57,12687,12685,12739,54,2,12685.0,0.04767029800000001
264,1561,2004,Hurricane,1,1,1,1,89,12687,12685,12739,54,2,12685.0,0.568452724
265,1561,2004,Hurricane,1,1,1,1,81,12687,12685,12739,54,2,12685.0,0.0
266,1561,2004,Hurricane,1,1,1,1,103,12687,12685,12739,54,2,12685.0,0.063967656
267,1561,2004,Hurricane,0,0,1,1,73,12687,12685,12739,54,2,12685.0,0.0
268,1561,2004,Hurricane,1,1,1,1,35,12687,12685,12739,54,2,12685.0,0.13463524500000001
269,1561,2004,Hurricane,1,1,1,1,119,12687,12685,12739,54,2,12685.0,0.012775827
270,1561,2004,Hurricane,1,1,1,1,17,12687,12685,12739,54,2,12685.0,0.029890215
271,1561,2004,Hurricane,1,1,1,1,105,12687,12685,12739,54,2,12685.0,0.15458173700000002
272,1561,2004,Hurricane,1,1,1,1,117,12687,12685,12739,54,2,12685.0,0.013145212
273,1561,2004,Hurricane,0,0,1,1,11,12687,12685,12739,54,2,12685.0,21.032921551999994
