disasterNumber,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,fipsCountyCode,placeCode,designatedArea,declaration_date,incident_begin,incident_end,
3385,2017,Hurricane,HURRICANE IRMA,0,0,1,0,1,99001,Alachua (County),17414,17414,17458,
3385,2017,Hurricane,HURRICANE IRMA,0,0,1,0,109,99109,St. Johns (County),17414,17414,17458,
3385,2017,Hurricane,HURRICANE IRMA,0,0,1,0,37,99037,Franklin (County),17414,17414,17458,
3385,2017,Hurricane,HURRICANE IRMA,0,0,1,0,39,99039,Gadsden (County),17414,17414,17458,
3385,2017,Hurricane,HURRICANE IRMA,0,0,1,0,123,99123,Taylor (County),17414,17414,17458,
3385,2017,Hurricane,HURRICANE IRMA,0,0,1,0,87,99087,Monroe (County),17414,17414,17458,
3385,2017,Hurricane,HURRICANE IRMA,0,0,1,0,77,99077,Liberty (County),17414,17414,17458,
3385,2017,Hurricane,HURRICANE IRMA,0,0,1,0,99,99099,Palm Beach (County),17414,17414,17458,
3388,2017,Hurricane,HURRICANE IRMA,0,0,1,0,0,32125,Hollywood Indian Reservation,17418,17413,17444,
3395,2018,Hurricane,HURRICANE NATE,0,0,1,0,113,99113,Santa Rosa (County),17447,17446,17451,
3395,2018,Hurricane,HURRICANE NATE,0,0,1,0,33,99033,Escambia (County),17447,17446,17451,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,17,99017,Citrus (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,7,99007,Bradford (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,133,99133,Washington (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,123,99123,Taylor (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,45,99045,Gulf (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,53,99053,Hernando (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,75,99075,Levy (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,5,99005,Bay (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,1,99001,Alachua (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,63,99063,Jackson (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,59,99059,Holmes (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,39,99039,Gadsden (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,3,99003,Baker (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,65,99065,Jefferson (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,13,99013,Calhoun (County),17813,17811,17824,
3405,2019,Hurricane,HURRICANE MICHAEL,0,0,1,0,125,99125,Union (County),17813,17811,17824,
